"Education_Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Total","Female","Male","Urban","Rural","Poorest","Second","Middle","Fourth","Richest"
149,149,1,1,9,99.6984481811523,99.7490921020508,99.6499710083008,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,150,1,1,9,86.4927673339844,88.501823425293,84.325927734375,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,151,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,152,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,153,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,154,1,1,9,99.1234817504883,99.4357528686523,98.8415069580078,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,155,1,1,9,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,156,1,1,9,97.7825469970703,97.8541793823242,97.7124633789062,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,157,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,158,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,159,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,160,1,1,9,99.0699996948242,99.5999984741211,98.5599975585938,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,161,1,1,9,66.6485977172852,62.69921875,70.5761108398438,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,162,1,1,9,99.9296264648438,99.9423675537109,99.9174194335938,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,163,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,164,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,165,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,166,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,167,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,168,1,1,9,47.9009590148926,47.3692016601562,48.4251403808594,NULL,NULL,NULL,NULL,NULL,NULL,NULL
