"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value"
393,102,21,2,7,640
394,102,21,2,8,501
395,102,21,2,9,458
396,102,21,2,10,524
397,104,21,2,7,44
398,104,21,2,8,41
399,104,21,2,9,39
400,104,21,2,10,37
401,105,21,2,7,2
402,105,21,2,8,2
403,105,21,2,9,2
404,105,21,2,10,2
405,106,21,2,7,12592
406,106,21,2,8,12667
407,106,21,2,9,12703
408,106,21,2,10,12710
409,107,21,2,7,6712
410,107,21,2,8,6624
411,107,21,2,9,6516
412,107,21,2,10,6394
413,108,21,2,7,1322
414,108,21,2,8,1312
415,108,21,2,9,1304
416,108,21,2,10,1297
417,109,21,2,7,14
418,109,21,2,8,13
419,109,21,2,9,13
420,109,21,2,10,13
421,110,21,2,7,12862
422,110,21,2,8,12994
423,110,21,2,9,13086
424,110,21,2,10,13132
425,111,21,2,7,3
426,111,21,2,8,3
427,111,21,2,9,3
428,111,21,2,10,3
429,112,21,2,7,11
430,112,21,2,8,11
431,112,21,2,9,9
432,112,21,2,10,9
433,113,21,2,7,855
434,113,21,2,8,854
435,113,21,2,9,852
436,113,21,2,10,850
437,114,21,2,7,33
438,114,21,2,8,31
439,114,21,2,9,29
440,114,21,2,10,28
441,115,21,2,7,5834
442,115,21,2,8,5776
443,115,21,2,9,5724
444,115,21,2,10,5662
445,116,21,2,7,16
446,116,21,2,8,15
447,116,21,2,9,15
448,116,21,2,10,14
449,117,21,2,7,0
450,117,21,2,8,0
451,117,21,2,9,0
452,117,21,2,10,0
453,118,21,2,7,244
454,118,21,2,8,232
455,118,21,2,9,221
456,118,21,2,10,209
457,119,21,2,7,9
458,119,21,2,8,8
459,119,21,2,9,8
460,119,21,2,10,7
461,121,21,2,7,1787
462,121,21,2,8,1754
463,121,21,2,9,1723
464,121,21,2,10,1695
465,122,21,2,7,13250
466,122,21,2,8,13154
467,122,21,2,9,13085
468,122,21,2,10,12993
469,123,21,2,7,5538
470,123,21,2,8,5138
471,123,21,2,9,4804
472,123,21,2,10,4506
473,124,21,2,7,664
474,124,21,2,8,662
475,124,21,2,9,662
476,124,21,2,10,660
477,125,21,2,7,2
478,125,21,2,8,2
479,125,21,2,9,2
480,125,21,2,10,2
481,126,21,2,7,3464
482,126,21,2,8,3294
483,126,21,2,9,3146
484,126,21,2,10,3016
485,127,21,2,7,149
486,127,21,2,8,142
487,127,21,2,9,136
488,127,21,2,10,129
489,128,21,2,7,64
490,128,21,2,8,63
491,128,21,2,9,61
492,128,21,2,10,60
493,129,21,2,7,466
494,129,21,2,8,453
495,129,21,2,9,441
496,129,21,2,10,430
497,130,21,2,7,20933
498,130,21,2,8,21154
499,130,21,2,9,21360
500,130,21,2,10,21527
501,131,21,2,7,117150
502,131,21,2,8,118043
503,131,21,2,9,118819
504,131,21,2,10,119243
505,132,21,2,7,0
506,132,21,2,8,0
507,132,21,2,9,0
508,132,21,2,10,0
509,133,21,2,7,32
510,133,21,2,8,31
511,133,21,2,9,31
512,133,21,2,10,30
513,134,21,2,7,46
514,134,21,2,8,45
515,134,21,2,9,43
516,134,21,2,10,42
517,135,21,2,7,145
518,135,21,2,8,152
519,135,21,2,9,160
